blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,redBaron,redFirstBaron,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon,blueChamps0,blueChamps1,blueChamps2,blueChamps3,blueChamps4,redChamps0,redChamps1,redChamps2,redChamps3,redChamps4
1,53232,2298,68,13.6,649,133,1,22,13,28,64,25,1,1,3,7,4,2,1,2,0,1,2,0,0,45622,2584,64,12.8,657,146,0,13,22,15,57,20,0,0,0,5,1,2,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,126,64,7,145,111,58,245,897,81,497
0,50457,3220,63,12.6,594,121,0,29,20,42,56,16,1,0,2,2,1,1,0,0,1,1,2,0,0,51820,4342,65,13.0,627,158,1,20,29,36,64,18,0,0,0,3,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,122,59,99,145,526,114,421,69,81,497
0,50798,1440,64,12.8,563,137,1,29,18,37,56,21,1,0,2,1,1,0,0,0,1,2,1,0,0,55842,3734,68,13.6,604,136,0,18,29,39,56,18,0,0,0,6,1,3,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,107,64,517,360,526,78,234,4,145,12
1,52500,3461,68,13.6,633,142,0,24,18,35,61,32,0,0,0,3,1,1,1,0,1,2,2,1,0,47191,3617,61,12.2,647,109,1,18,24,18,54,25,1,1,1,4,0,1,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,164,64,163,498,111,114,254,518,145,201
0,72930,2443,83,16.6,865,220,1,24,23,36,61,25,0,0,0,3,2,1,0,0,1,2,1,0,0,75236,2772,84,16.8,761,191,0,23,24,39,76,23,1,0,1,7,2,2,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,85,64,69,360,526,24,517,126,895,497
1,61381,4572,72,14.4,598,202,0,27,19,57,71,28,1,0,1,4,2,1,1,0,0,2,1,0,0,47508,2216,64,12.8,613,102,1,19,27,40,66,28,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,92,68,131,360,526,79,101,78,145,497
1,72640,2998,85,17.0,784,213,1,19,15,32,75,17,1,0,2,3,1,0,2,0,1,3,2,0,0,64604,2930,77,15.4,823,174,0,15,19,23,57,38,0,0,0,5,2,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,897,104,134,81,497,89,64,777,115,150
1,71276,4154,81,16.2,816,212,1,22,14,44,63,22,0,0,0,5,2,3,0,0,0,1,2,0,0,55787,1887,73,14.6,764,187,0,14,22,19,63,17,1,0,3,4,1,0,3,0,1,2,0,1,0,0,0,0,1,0,0,0,1,0,0,85,104,4,429,412,897,121,84,18,12
1,63784,2837,76,15.2,736,150,0,16,19,28,67,20,1,0,3,2,1,0,1,0,0,1,2,1,0,60081,1749,77,15.4,774,207,1,19,16,36,72,24,0,0,0,5,2,2,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,6,24,61,145,12,897,104,134,429,53
0,42190,2605,63,12.6,670,139,0,9,19,9,56,22,0,0,0,1,0,1,0,0,0,0,0,0,0,55498,5331,69,13.8,691,171,1,19,9,32,66,26,1,0,3,5,2,1,2,0,1,3,2,1,1,0,0,0,0,0,0,1,0,1,0,126,254,245,145,53,103,24,134,51,235
