blueWins,blueCurrentGolds,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redCurrentGolds,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,redBaron,redFirstBaron,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon,blueChamps0,blueChamps1,blueChamps2,blueChamps3,blueChamps4,redChamps0,redChamps1,redChamps2,redChamps3,redChamps4
1,1813,1,3,1,2,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,0,1,3,1,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,64,7,145,111,58,245,897,81,497
0,3541,0,5,3,6,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2256,1,3,5,5,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,59,99,145,526,114,421,69,81,497
0,3859,1,4,0,4,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2608,0,0,4,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,64,517,360,526,78,234,4,145,12
1,3647,0,3,4,3,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3956,1,4,3,3,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,64,163,498,111,114,254,518,145,201
0,2944,1,6,0,8,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1124,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,64,69,360,526,24,517,126,895,497
1,2898,0,2,4,2,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3273,1,4,2,9,12,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,92,68,131,360,526,79,101,78,145,497
1,2354,1,4,0,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,0,0,4,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897,104,134,81,497,89,64,777,115,150
1,3442,1,5,3,6,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,0,3,5,2,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,104,4,429,412,897,121,84,18,12
1,2187,0,1,5,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3913,1,5,1,8,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,61,145,12,897,104,134,429,53
0,1413,0,1,3,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5622,1,3,1,2,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,254,245,145,53,103,24,134,51,235
